valor	parte	archivo	grupos_generados	primer_grupo_global	ultimo_grupo_global	primera_posicion_absoluta	siguiente_posicion_absoluta	estado
51	1	secuencias_valor_000051_parte_0001.txt	1000000	1	1000000	51	11269336141	COMPLETO
52	1	secuencias_valor_000052_parte_0001.txt	1000000	1000001	2000000	52	11268291575	COMPLETO
53	1	secuencias_valor_000053_parte_0001.txt	1000000	2000001	3000000	53	11270264310	COMPLETO
54	1	secuencias_valor_000054_parte_0001.txt	1000000	3000001	4000000	54	11271194191	COMPLETO
55	1	secuencias_valor_000055_parte_0001.txt	1000000	4000001	5000000	55	11271812302	COMPLETO
56	1	secuencias_valor_000056_parte_0001.txt	1000000	5000001	6000000	56	11269875834	COMPLETO
57	1	secuencias_valor_000057_parte_0001.txt	1000000	6000001	7000000	57	11268214125	COMPLETO
58	1	secuencias_valor_000058_parte_0001.txt	1000000	7000001	8000000	58	11268920840	COMPLETO
59	1	secuencias_valor_000059_parte_0001.txt	1000000	8000001	9000000	59	11269356154	COMPLETO
60	1	secuencias_valor_000060_parte_0001.txt	1000000	9000001	10000000	60	11271793134	COMPLETO
61	1	secuencias_valor_000061_parte_0001.txt	1000000	10000001	11000000	61	11267175941	COMPLETO
62	1	secuencias_valor_000062_parte_0001.txt	1000000	11000001	12000000	62	11266154138	COMPLETO
63	1	secuencias_valor_000063_parte_0001.txt	1000000	12000001	13000000	63	11271781172	COMPLETO
64	1	secuencias_valor_000064_parte_0001.txt	1000000	13000001	14000000	64	11271013579	COMPLETO
65	1	secuencias_valor_000065_parte_0001.txt	1000000	14000001	15000000	65	11271258550	COMPLETO
66	1	secuencias_valor_000066_parte_0001.txt	1000000	15000001	16000000	66	11273553823	COMPLETO
67	1	secuencias_valor_000067_parte_0001.txt	1000000	16000001	17000000	67	11269721056	COMPLETO
68	1	secuencias_valor_000068_parte_0001.txt	1000000	17000001	18000000	68	11267424543	COMPLETO
69	1	secuencias_valor_000069_parte_0001.txt	1000000	18000001	19000000	69	11270408898	COMPLETO
70	1	secuencias_valor_000070_parte_0001.txt	1000000	19000001	20000000	70	11268978667	COMPLETO
71	1	secuencias_valor_000071_parte_0001.txt	1000000	20000001	21000000	71	11274615292	COMPLETO
72	1	secuencias_valor_000072_parte_0001.txt	1000000	21000001	22000000	72	11272415194	COMPLETO
73	1	secuencias_valor_000073_parte_0001.txt	1000000	22000001	23000000	73	11268417384	COMPLETO
74	1	secuencias_valor_000074_parte_0001.txt	1000000	23000001	24000000	74	11269054486	COMPLETO
75	1	secuencias_valor_000075_parte_0001.txt	1000000	24000001	25000000	75	11272837173	COMPLETO
76	1	secuencias_valor_000076_parte_0001.txt	1000000	25000001	26000000	76	11274023087	COMPLETO
77	1	secuencias_valor_000077_parte_0001.txt	1000000	26000001	27000000	77	11269055730	COMPLETO
78	1	secuencias_valor_000078_parte_0001.txt	1000000	27000001	28000000	78	11270784503	COMPLETO
79	1	secuencias_valor_000079_parte_0001.txt	1000000	28000001	29000000	79	11273634941	COMPLETO
80	1	secuencias_valor_000080_parte_0001.txt	1000000	29000001	30000000	80	11269110060	COMPLETO
